created_at,source,original_text,clean_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Mon Jul 26 10:14:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kemiadetiba 💃💃💃💃💃💃💃💃💃. Can we watch it with popcorn?,Can watch popcorn,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,kemiadetiba,Lagos Nigeria
Mon Jul 26 09:56:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Exercise will NOT improve the shape of your breasts, they contain fat not muscle

Vit C helps in connective tissue, may help minimally, but there is no evidence that this works in breast shape

For a more permanent if you're uncomfortable with the way they look get  a breast lift",Exercise NOT improve shape breasts contain fat muscleVit C helps connective tissue may help minimally evidence works breast shapeFor permanent 're uncomfortable way look get breast lift,-0.033333333333333326,0.7000000000000001,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Age: as a woman gets older the ligaments weaken, hence, breasts will sag.
Breast feeding will NOT make your breast fall!

Also, there is no evidence that wearing A bra will affect the sagging of your breasts,

A BRA WILL ONLY CHANGE THE SHAPE OF YOUR BREAST WHEN IT IS WORN.",Age woman gets older ligaments weaken hence breasts sag.Breast feeding NOT make breast fall Also evidence wearing A bra affect sagging breasts A BRA WILL ONLY CHANGE THE SHAPE OF YOUR BREAST WHEN IT IS WORN,0.10416666666666666,0.6666666666666666,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5. Higher body mass index: remember that breasts are largely composed of fat&gt;more BMI, more fat&gt;more weight &gt;sag

6.Significant weight gain or loss(23 kg) If you lose a lot of weight too soon, without giving your body time to adjust, breasts may sag because you have extra skin",Higher body mass index remember breasts largely composed fat gt BMI fat gt weight gtag6.Significant weight gain loss 23 kg If lose lot weight soon without giving body time adjust breasts may sag extra skin,0.24107142857142858,0.3821428571428572,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3. Large breasts: it is common sense that large structures need more support, the larger your breasts are the more support they would need.

So naturally, they would sag because of their weight

4. Gravity: Gravity plays a large role.",Large breasts common sense large structures need support larger breasts support would need.So naturally would sag weight4 Gravity Gravity plays large role,0.18035714285714285,0.4607142857142857,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","There are major things that make might make a your breasts sag

1. Cigarette smoking(Shisha): Smoking breaks down elastin in the skin which can invariably cause breasts to fall

2. The more pregnancies a woman has, the more chances that her breasts are going to fall.",There major things make might make breasts sag1 Cigarette smoking Shisha Smoking breaks elastin skin invariably cause breasts fall2 The pregnancies woman chances breasts going fall,0.2267361111111111,0.44722222222222224,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Breasts contain mainly fat, glands that produce milk, and Cooper ligaments

It is commonly thought that these ligaments is what give support to these breasts making them firm and supple nd giving them their shape

However, with age, these ligaments become lax and breasts fall",Breasts contain mainly fat glands produce milk Cooper ligamentsIt commonly thought ligaments give support breasts making firm supple nd giving shapeHowever age ligaments become lax breasts fall,-0.11111111111111112,0.41111111111111115,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:56:04 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The statements made about women's breasts in this Big Brother Show makes me sick

Some think that a person's body count is shown by breast sagging

I see adults who say ""Olympus has fallen"" disgracing their ancestors thinking they're shaming her

That's just not how it works",The statements made women 's breasts Big Brother Show makes sickSome think person 's body count shown breast saggingI see adults say `` Olympus fallen '' disgracing ancestors thinking 're shaming herThat 's works,-0.35714285714285715,0.47857142857142854,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 09:19:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @chef_amakaa: I made French Toast with Chia seeds for breakfast.  Super 😋. 
Want to know how I made it?
Click on this👇🏿

https://t.co/xs…",I made French Toast Chia seeds breakfast Super Want know I made Click,0.16666666666666666,0.3333333333333333,en,63,16,aproko_doctor,1117925,9395,,,chef_amakaa,Lagos Nigeria
Mon Jul 26 09:15:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kits_Shop: Puma OG Runner Trainers

Made with a toe cap

Promo: 10% discount
Phone/WhatsApp 08039562419
Telegram:https:https://t.co/aa7…",Puma OG Runner TrainersMade toe capPromo discountPhone/WhatsApp Telegram,0.0,0.0,en,75,67,aproko_doctor,1117925,9395,,,Kits_Shop,Lagos Nigeria
Mon Jul 26 07:23:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @aproko_doctor: And please, don't use iron sponge to brush your teeth, it's not jeans or rug. Get soft or medium bristles.

Hard brushes…",And please n't use iron sponge brush teeth 's jeans rug Get soft medium bristles.Hard brushes,-0.09583333333333334,0.4458333333333333,en,581,88,aproko_doctor,1117925,9395,,,aproko_doctor,Lagos Nigeria
Mon Jul 26 07:19:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Balingah_ Eeya. No wonder.,Eeya No wonder,0.0,0.0,nl,0,0,aproko_doctor,1117925,9395,,,Balingah_,Lagos Nigeria
Mon Jul 26 07:17:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","And please, don't use iron sponge to brush your teeth, it's not jeans or rug. Get soft or medium bristles.

Hard brushes damage the outer covering of your teeth.",And please n't use iron sponge brush teeth 's jeans rug Get soft medium bristles.Hard brushes damage outer covering teeth,-0.09583333333333334,0.4458333333333333,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 07:15:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JajaPhD So many use hard brushes especially in this part of the world, they end up brushing away their enamel. soft bristles are better.

So sorry Jaja, I can only imagine what it feels like.",So many use hard brushes especially part world end brushing away enamel soft bristles better.So sorry Jaja I imagine feels like,0.04404761904761905,0.6988095238095238,en,0,0,aproko_doctor,1117925,9395,,,JajaPhD,Lagos Nigeria
Mon Jul 26 07:13:45 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Abeg spend at least 2 to 3 minutes washing your teeth and mouth. Don't let your mouth be smelling like iru or dawadawa,Abeg spend least minutes washing teeth mouth Do n't let mouth smelling like iru dawadawa,-0.3,0.4,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Mon Jul 26 07:07:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wait? So you mean some people spend less than 3 minutes brushing their teeth?

No wonder!",Wait So mean people spend less minutes brushing teeth No wonder,-0.26041666666666663,0.3770833333333333,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Sun Jul 25 19:02:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kemiadetiba @netflix @NetflixNaija 💃💃💃💃Laburu is what?,Laburu,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,"kemiadetiba, netflix, NetflixNaija",Lagos Nigeria
Sun Jul 25 19:01:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@adewumihaas001 See money na!,See money na,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,adewumihaas001,Lagos Nigeria
Sun Jul 25 19:01:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@embele_paul You lie o,You lie,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,embele_paul,Lagos Nigeria
Sun Jul 25 18:53:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Random 4 second video of myself. Loving life. https://t.co/Kk8XJ1plWA,Random second video Loving life,0.033333333333333326,0.48333333333333334,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Sun Jul 25 18:44:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @chef_amakaa: Oya, Look from where you buy orange 100naira and lemon, like 200 .. let's make Orange Lemonade. A refreshing drink and sup…",Oya Look buy orange naira lemon like .. let 's make Orange Lemonade A refreshing drink sup,0.5,1.0,en,330,121,aproko_doctor,1117925,9395,,,chef_amakaa,Lagos Nigeria
Sun Jul 25 15:33:41 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@osheguy It can't be real.,It ca n't real,0.2,0.30000000000000004,en,0,0,aproko_doctor,1117925,9395,,,osheguy,Lagos Nigeria
Sun Jul 25 11:46:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kits_Shop: Adidas Ozweego Adiprene Trainers

Built with adiprene tech

Promo: 10%
Phone/WhatsApp 08039562419
Telegram:https:https://t.c…",Adidas Ozweego Adiprene TrainersBuilt adiprene techPromo Phone/WhatsApp Telegram,0.0,0.0,en,99,60,aproko_doctor,1117925,9395,,,Kits_Shop,Lagos Nigeria
Sun Jul 25 11:45:32 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @realdanielemeka: Hi guys, there is are couple of openings at Black Bamboo

Graphic/Vfx Artists
Production Assistant 
Content marketing…",Hi guys couple openings Black BambooGraphic/Vfx ArtistsProduction Assistant Content marketing,-0.16666666666666666,0.43333333333333335,en,53,57,aproko_doctor,1117925,9395,,,realdanielemeka,Lagos Nigeria
Sun Jul 25 07:38:34 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@UgwunnaEjikem I dey wait for am to post am! See ehn e choke,I dey wait post See ehn e choke,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,UgwunnaEjikem,Lagos Nigeria
Sun Jul 25 06:42:49 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@realdanielemeka Lmao. You were a randy man o,Lmao You randy man,0.6,1.0,en,0,0,aproko_doctor,1117925,9395,,,realdanielemeka,Lagos Nigeria
Sat Jul 24 20:40:41 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@akenny_o You be Trojan horse?,You Trojan horse,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,akenny_o,Lagos Nigeria
Sat Jul 24 19:06:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @chef_amakaa: Oya tell me. I will not tell any body😁 https://t.co/tbmsReRqWz,Oya tell I tell body,0.0,0.0,en,147,20,aproko_doctor,1117925,9395,False,,chef_amakaa,Lagos Nigeria
Sat Jul 24 14:54:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SodiqTade: Political apathy is as dangerous as voting incompetent Leaders.,Political apathy dangerous voting incompetent Leaders,-0.31666666666666665,0.45555555555555555,en,253,135,aproko_doctor,1117925,9395,,,SodiqTade,Lagos Nigeria
Sat Jul 24 14:20:45 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @idrisafricana: VERY URGENT FINANCIAL APPEAL

In quest to reach large populace of kind humans. We hereby solicit on behalf of Our Father…",VERY URGENT FINANCIAL APPEALIn quest reach large populace kind humans We hereby solicit behalf Our Father,0.25357142857142856,0.40714285714285714,en,50,140,aproko_doctor,1117925,9395,,,idrisafricana,Lagos Nigeria
Sat Jul 24 12:27:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_The100kclub: We've helped 30 people get back on their feet In less than 7 months🤭
A special thanks to everyone who made this possible.…",We 've helped people get back feet In less monthsA special thanks everyone made possible,0.09761904761904763,0.2095238095238095,en,36,13,aproko_doctor,1117925,9395,,,_The100kclub,Lagos Nigeria
Sat Jul 24 12:20:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Chydee No dey keep secret like this na,No dey keep secret like na,-0.4,0.7,en,0,0,aproko_doctor,1117925,9395,,,Chydee,Lagos Nigeria
Sat Jul 24 12:20:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Elkrosmediahub See ehn. Money is good,See ehn Money good,0.7,0.6000000000000001,en,0,0,aproko_doctor,1117925,9395,,,Elkrosmediahub,Lagos Nigeria
Sat Jul 24 12:07:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RespiratoryDafe Do send to us also so we can help dispense.,Do send us also help dispense,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,RespiratoryDafe,Lagos Nigeria
Sat Jul 24 11:59:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How has this Twitter Ban made Nigeria a safer place or a more united country?

Please share with evidence.
#KeepitOn",How Twitter Ban made Nigeria safer place united country Please share evidence,0.5,0.5,en,0,0,aproko_doctor,1117925,9395,,KeepitOn,,Lagos Nigeria
Sat Jul 24 11:57:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kits_Shop: Adidas Ozweego Celox Trainers

 Synthetic Upper

Promo: 10% discount
Phone/WhatsApp 08039562419
Telegram:https:https://t.co/…",Adidas Ozweego Celox Trainers Synthetic UpperPromo discountPhone/WhatsApp Telegram,0.0,0.0,en,77,64,aproko_doctor,1117925,9395,,,Kits_Shop,Lagos Nigeria
Sat Jul 24 10:24:41 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AbisolaAlawode Lmao. Why are you angry sah,Lmao Why angry sah,0.04999999999999999,1.0,en,0,0,aproko_doctor,1117925,9395,,,AbisolaAlawode,Lagos Nigeria
Sat Jul 24 09:42:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",People who eat more than 5 slices of bread at once need to go to prison.,People eat slices bread need go prison,0.5,0.5,en,0,0,aproko_doctor,1117925,9395,,,,Lagos Nigeria
Sat Jul 24 09:41:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Letter_to_Jack Happy anniversary Jack.,Happy anniversary Jack,0.8,1.0,en,0,0,aproko_doctor,1117925,9395,,,Letter_to_Jack,Lagos Nigeria
Fri Jul 23 20:35:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@_PLICE @Elkrosmediahub Yes o. We go give am armor.,Yes We go give armor,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,"_PLICE, Elkrosmediahub",Lagos Nigeria
Fri Jul 23 20:33:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@_PLICE Jaguars are daring,Jaguars daring,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,_PLICE,Lagos Nigeria
Fri Jul 23 20:28:32 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Elkrosmediahub I get bulldog.,I get bulldog,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,Elkrosmediahub,Lagos Nigeria
Fri Jul 23 20:28:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EmotionsDoctor Self-worth for me is tied to self awareness.,Self-worth tied self awareness,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,EmotionsDoctor,Lagos Nigeria
Fri Jul 23 20:27:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @EmotionsDoctor: Will you allow society to determine your self-worth?

#TheEmotionsDoctor 
#SoulStripper https://t.co/it4mBUpJb9",Will allow society determine self-worth,0.0,0.0,en,85,37,aproko_doctor,1117925,9395,False,"TheEmotionsDoctor, SoulStripper",EmotionsDoctor,Lagos Nigeria
Fri Jul 23 20:23:21 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Elkrosmediahub But him no lie sha,But lie sha,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,Elkrosmediahub,Lagos Nigeria
Fri Jul 23 20:21:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@MojiDelanoBlog If perfume was not in this list I would have sent an SOS out,If perfume list I would sent SOS,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,MojiDelanoBlog,Lagos Nigeria
Fri Jul 23 20:18:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@urchilla01 Agreed,Agreed,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,urchilla01,Lagos Nigeria
Fri Jul 23 20:18:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @urchilla01: The bullying DJ Cuppy gets on this app just for doing her thing is very worrisome,The bullying DJ Cuppy gets app thing worrisome,0.2,0.3,en,1593,347,aproko_doctor,1117925,9395,,,urchilla01,Lagos Nigeria
Fri Jul 23 20:17:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I know someone whose name is Peradventure. https://t.co/bvHpMFuIIg,I know someone whose name Peradventure,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Fri Jul 23 20:09:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@IamEtubo Him no fit understand,Him fit understand,-0.2,0.4,en,0,0,aproko_doctor,1117925,9395,,,IamEtubo,Lagos Nigeria
Fri Jul 23 20:05:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @udysweet: You people don't know what use to sweet my belle
Anytime I watch @aproko_doctor video on IG, he's always rocking BeadsByUdy 💃…",You people n't know use sweet belleAnytime I watch video IG 's always rocking BeadsByUdy,0.35,0.65,en,52,27,aproko_doctor,1117925,9395,,,"udysweet, aproko_doctor",Lagos Nigeria
Fri Jul 23 20:04:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@_Rure_ @Nathaniel_00_7 Thanks!,Thanks,0.25,0.2,en,0,0,aproko_doctor,1117925,9395,,,"_Rure_, Nathaniel_00_7",Lagos Nigeria
Fri Jul 23 20:02:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@gechife @ChifeDr Beautiful.,Beautiful,0.85,1.0,en,0,0,aproko_doctor,1117925,9395,,,"gechife, ChifeDr",Lagos Nigeria
Fri Jul 23 16:50:04 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @aproko_doctor: Before you bleach your skin, please read this

https://t.co/WY2oyls3lc",Before bleach skin please read,0.0,0.0,en,201,106,aproko_doctor,1117925,9395,False,,aproko_doctor,Lagos Nigeria
Fri Jul 23 16:46:22 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#TGIF
Small reminder that:

Shisha can cause cancer
Shisha can cause impotence
Shisha can cause heart attacks
Shisha can cause lung infections
Shisha can cause miscarriages
Shisha can cause strokes
Shisha can weaken your immune system
Shisha can cause your skin to age prematurely",reminder thathisha cause cancerShisha cause impotenceShisha cause heart attacksShisha cause lung infectionsShisha cause miscarriagesShisha cause strokesShisha weaken immune systemShisha cause skin age prematurely,-0.25,0.4,en,0,0,aproko_doctor,1117925,9395,,TGIF,,Lagos Nigeria
Fri Jul 23 16:09:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TosynEghire So beautiful.,So beautiful,0.85,1.0,en,0,0,aproko_doctor,1117925,9395,,,TosynEghire,Lagos Nigeria
Fri Jul 23 15:56:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Before you bleach your skin, please read this

https://t.co/WY2oyls3lc",Before bleach skin please read,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,False,,,Lagos Nigeria
Fri Jul 23 14:41:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Harri_Obi Talk to @Kits_Shop,Talk,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,"Harri_Obi, Kits_Shop",Lagos Nigeria
Fri Jul 23 14:28:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@_PLICE This spoilt my day,This spoilt day,0.0,0.0,en,0,0,aproko_doctor,1117925,9395,,,_PLICE,Lagos Nigeria
Fri Jul 23 14:09:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Kestim_ @Funmiscute Doesn't that tell you that violence is closer than we think it is, that a lot of people experienced it, that a lot of people have not dealt with the experience. Ask the so called ""silly"" questions so you don't repeat them. Whether you choose to share or not is up to you",Does n't tell violence closer think lot people experienced lot people dealt experience Ask called `` silly '' questions n't repeat Whether choose share,0.15000000000000002,0.8875,en,0,0,aproko_doctor,1117925,9395,,,"Kestim_, Funmiscute",Lagos Nigeria
